category,subcategory,brand,model,wattage
EV Charger,EV Charger,Espen,EVC/A80S/JXX/EW/5D,19.2000
EV Charger,EV Charger,EverCharge Inc.,E800-1001,19.2000
EV Charger,EV Charger,Tcharge,UAC 80,19.2000
EV Charger,EV Charger,InCharge,ICE-80A Gen 1,19.2000
EV Charger,EV Charger,InCharge,ICE-80A Gen2,19.2000
EV Charger,EV Charger,INTEGRA ENERGY,IE-EX-1193-1,19.2000
EV Charger,EV Charger,"Aoyes, AutoBot",EAUS32-*01-##-*,19.2000
EV Charger,EV Charger,TOPBAND,"TB80USMJX followed by1, 2, 3, 4, 5, 6, 7 or 8",19.2000
EV Charger,EV Charger,Injet,iM3C-19K2A,19.2000
EV Charger,EV Charger,Siemens Industry Inc,8EM1315-7BG16-0FH0,19.2000
EV Charger,EV Charger,Siemens Industry Inc,8EM1315-7BG16-1FH2,19.2000
EV Charger,EV Charger,Star Charge,AC0192AN0300403##,19.2000
EV Charger,EV Charger,Star Charge,AC0192AN0300703##,19.2000
EV Charger,EV Charger,Longhorn,ECA-NC8002S-DG80**##,19.2000
EV Charger,EV Charger,Loop Global Inc,EVS-80A-L2-001,19.2000
EV Charger,EV Charger,Noodoe Corporation,AC19L Exceed,19.2000
EV Charger,EV Charger,NUVVE POWERPORT,EVSE-B-P1-H1,19.2000
EV Charger,EV Charger,OpConnect Inc,IC80,19.2000
EV Charger,EV Charger,PowerCharge,IC80A,19.2000
EV Charger,EV Charger,CHARGECORE,AC003PNA19,19.2000
EV Charger,EV Charger,RAB,EVC80,19.2000
EV Charger,EV Charger,SemaConnect,780,19.2000
EV Charger,EV Charger,SemaConnect,880,19.2000
EV Charger,EV Charger,Grizzl-E,GRU-077-W-HW-25DJ80-A-GB,19.2000
EV Charger,EV Charger,Joint,JNT-EVC10/80AC/01C/XX/RF/WF,19.2000
EV Charger,EV Charger,Zerova,AXLU191001D,19.2000
Kitchen,Oven,Electrolux Professional,COE11T30,19
Kitchen,Oven,"Atosa, STARBRIDGE",EPA-0621E2,19
Kitchen,Oven,"Atosa, STARBRIDGE",EPA-1011E2,19
Kitchen,Oven,Rational AG,iCombiPro 10-half elec.,18.9
Kitchen,Oven,Rational AG,iCombiClassic 10-half elec.,18.9
Kitchen,Oven,Lainox,NAE101BS,18.7
Kitchen,Oven,Retigo s.r.o.,B 1011 i,18.6
Kitchen,Oven,UNOX S.p.A.,XEVC-1011-EP*M-***,18.5
EV Charger,EV Charger,AUTEL,UF060C3001,17.7778
EV Charger,EV Charger,AUTEL,UF060A3001,17.7778
Kitchen,Oven,Henny Penny,FPE621,17.4
Kitchen,Oven,MKN Maschinenfabrik Kurt Neubauer GmbH & Co.KG,FKECOD621T,17.4
EV Charger,EV Charger,BTCPower,EVP-2001-70-P-####,16.8000
Kitchen,Oven,Convotherm,C4eD 6.20 EB,15.9
